,DBC,DIA,FEZ,IJH,IWD,IWF,IWM,IWN,IWO,MDY,OEF,PFF,QQQ,SPY,VTI
2008-01-02,31.517152786254883,97.7230224609375,41.6302490234375,71.162353515625,60.03929901123047,51.104496002197266,63.616981506347656,55.19074630737305,74.44351959228516,132.92984008789062,52.72087097167969,19.71686363220215,45.0865478515625,113.8069076538086,56.787254333496094
2008-01-03,31.760112762451172,97.8052978515625,41.77001190185547,70.58899688720703,59.963626861572266,51.078975677490234,62.9144401550293,54.177345275878906,73.9720230102539,131.9547576904297,52.57344436645508,19.878463745117188,45.27436447143555,113.751953125,56.71989822387695
2008-01-04,31.575464248657227,95.88272857666016,40.91144561767578,68.57386779785156,58.5634765625,49.50640869140625,61.01847457885742,52.76016616821289,71.79583740234375,128.2701416015625,51.38636016845703,19.71686363220215,43.28881072998047,110.96427154541016,55.20355224609375
2008-01-07,31.00206756591797,95.80045318603516,41.230918884277344,68.39679718017578,58.93433380126953,49.659420013427734,61.153900146484375,53.02936553955078,71.68701171875,127.48497009277344,51.64240264892578,19.753801345825195,43.08308792114258,110.87005615234375,55.231266021728516
2008-01-08,31.283905029296875,94.14710998535156,40.79830551147461,66.84538269042969,57.66286087036133,48.89437484741211,59.266361236572266,51.604278564453125,69.84635162353516,124.50792694091797,50.69581985473633,19.73993492126465,41.9650993347168,109.07970428466797,54.241458892822266
2008-01-09,30.97291374206543,94.97754669189453,41.051212310791016,67.22481536865234,58.34398651123047,49.523406982421875,59.86735534667969,52.087215423583984,70.62612915039062,125.20681762695312,51.370826721191406,19.76766014099121,42.85950469970703,110.22614288330078,54.815547943115234
2008-01-10,30.82713508605957,95.62088775634766,41.230918884277344,67.84030151367188,58.896484375,49.7274055480957,60.68836975097656,52.80767822265625,71.43315124511719,126.15601348876953,51.68893814086914,20.261737823486328,42.922115325927734,110.94857025146484,55.17582321166992
2008-01-11,31.108970642089844,94.40149688720703,40.665191650390625,66.8959732055664,58.27586364746094,49.05589294433594,59.435665130615234,51.62010192871094,69.91886138916016,124.71502685546875,51.06825637817383,20.400245666503906,42.08137512207031,110.05339813232422,54.65717315673828
2008-01-14,31.497713088989258,95.3890151977539,41.60362243652344,67.62107849121094,58.646724700927734,49.66792297363281,59.92658615112305,52.11098098754883,70.67147827148438,125.90572357177734,51.62686538696289,20.54801368713379,42.814781188964844,110.94071197509766,55.18376159667969
2008-01-15,31.108970642089844,93.7357177734375,40.152713775634766,66.07811737060547,57.32986068725586,48.630863189697266,58.826255798339844,51.03422927856445,69.12094116210938,123.04960632324219,50.35443878173828,20.524921417236328,41.6341667175293,108.49859619140625,53.845523834228516
2008-01-16,30.81741714477539,93.2493896484375,39.314125061035156,65.59750366210938,57.193607330322266,47.874332427978516,58.88548278808594,51.52509689331055,68.966796875,122.5146255493164,50.005287170410156,20.48337173461914,41.18698501586914,107.56411743164062,53.5208625793457
2008-01-17,30.418956756591797,91.09497833251953,38.50880813598633,63.71725082397461,55.39236068725586,46.794769287109375,57.45504379272461,50.226661682128906,67.21680450439453,118.96807861328125,48.748382568359375,20.104726791381836,40.614559173583984,104.77648162841797,52.04804992675781
